"t","Scenario","Demand"
2022,"Ambitious-Baseline-Baseline-Baseline-Baseline",114.090208309391
2022,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",114.071166757465
2022,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",114.104194785189
2022,"Ambitious-Baseline-High Range-Baseline-Baseline",112.765653852184
2022,"Ambitious-Baseline-Low Range-Baseline-Baseline",112.765653852184
2022,"Ambitious-Double LFP-Baseline-Baseline-Baseline",114.090208309391
2022,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",114.090208309391
2022,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",114.090208309391
2022,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",114.090208309391
2023,"Ambitious-Baseline-Baseline-Baseline-Baseline",138.840434770519
2023,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",138.872551770461
2023,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",138.761775509732
2023,"Ambitious-Baseline-High Range-Baseline-Baseline",140.048534311895
2023,"Ambitious-Baseline-Low Range-Baseline-Baseline",135.051434043759
2023,"Ambitious-Double LFP-Baseline-Baseline-Baseline",138.48039583111
2023,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",138.774139917602
2023,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",138.840434770519
2023,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",138.840434770519
2024,"Ambitious-Baseline-Baseline-Baseline-Baseline",180.733068844346
2024,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",180.756763975179
2024,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",180.495088792586
2024,"Ambitious-Baseline-High Range-Baseline-Baseline",185.196209750229
2024,"Ambitious-Baseline-Low Range-Baseline-Baseline",172.659977066207
2024,"Ambitious-Double LFP-Baseline-Baseline-Baseline",180.071924065761
2024,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",180.557864221331
2024,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",180.733068844346
2024,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",180.733068844346
2025,"Ambitious-Baseline-Baseline-Baseline-Baseline",240.267006960545
2025,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",240.319855525908
2025,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",239.67476065024
2025,"Ambitious-Baseline-High Range-Baseline-Baseline",250.684540983378
2025,"Ambitious-Baseline-Low Range-Baseline-Baseline",224.392095408806
2025,"Ambitious-Double LFP-Baseline-Baseline-Baseline",239.184994666507
2025,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",239.906633985632
2025,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",240.267006960545
2025,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",240.267006960545
2026,"Ambitious-Baseline-Baseline-Baseline-Baseline",300.60672800356
2026,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",300.702972643215
2026,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",299.356059940784
2026,"Ambitious-Baseline-High Range-Baseline-Baseline",320.163129729094
2026,"Ambitious-Baseline-Low Range-Baseline-Baseline",274.110722166015
2026,"Ambitious-Double LFP-Baseline-Baseline-Baseline",299.028720955794
2026,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",300.106889511016
2026,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",300.60672800356
2026,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",300.60672800356
2027,"Ambitious-Baseline-Baseline-Baseline-Baseline",369.731673818596
2027,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",369.887960680863
2027,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",367.356752228928
2027,"Ambitious-Baseline-High Range-Baseline-Baseline",401.857322942426
2027,"Ambitious-Baseline-Low Range-Baseline-Baseline",329.981408806739
2027,"Ambitious-Double LFP-Baseline-Baseline-Baseline",367.554589050538
2027,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",369.01681923955
2027,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",369.731673818596
2027,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",369.731673818596
2028,"Ambitious-Baseline-Baseline-Baseline-Baseline",456.508849018924
2028,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",456.741622766618
2028,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",452.316712532421
2028,"Ambitious-Baseline-High Range-Baseline-Baseline",505.755531818247
2028,"Ambitious-Baseline-Low Range-Baseline-Baseline",399.133367812336
2028,"Ambitious-Double LFP-Baseline-Baseline-Baseline",453.620375123307
2028,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",455.54393108467
2028,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",456.508849018924
