"t","Vehicle","Scenario","Demand"
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Baseline",491.331473111975
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",491.331473111975
2022,"Additional LIB","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",491.331473111975
2022,"Additional LIB","Ambitious-Baseline-High Range-Baseline-Baseline",486.353701768675
2022,"Additional LIB","Ambitious-Baseline-Low Range-Baseline-Baseline",486.353701768675
2022,"Additional LIB","Ambitious-Double LFP-Baseline-Baseline-Baseline",491.331473111975
2022,"Additional LIB","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",491.331473111975
2022,"Additional LIB","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",491.331473111975
2022,"Additional LIB","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",491.331473111975
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",5604.80091305049
2022,"Bus","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",5604.80091305049
2022,"Bus","Ambitious-Baseline-High Range-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Baseline-Low Range-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Double LFP-Baseline-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",5604.80091305049
2022,"Bus","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",5604.80091305049
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",55599.6166485292
2022,"Car","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",55599.6166485292
2022,"Car","Ambitious-Baseline-High Range-Baseline-Baseline",54279.7604828527
2022,"Car","Ambitious-Baseline-Low Range-Baseline-Baseline",54279.7604828527
2022,"Car","Ambitious-Double LFP-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",55599.6166485292
2022,"Car","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",55599.6166485292
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",943.315016258994
2022,"Heavy truck","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",943.315016258994
2022,"Heavy truck","Ambitious-Baseline-High Range-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Baseline-Low Range-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Double LFP-Baseline-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",943.315016258994
2022,"Heavy truck","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",943.315016258994
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3766.79415356977
2022,"Medium truck","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3766.79415356977
2022,"Medium truck","Ambitious-Baseline-High Range-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Baseline-Low Range-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Double LFP-Baseline-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3766.79415356977
2022,"Medium truck","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3766.79415356977
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-High Range-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Baseline-Low Range-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Double LFP-Baseline-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",29667.0303260599
2022,"Other Sectors","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",29667.0303260599
2022,"Stationary Power Storage","Ambitious-Baseline-Baseline-Baseline-Baseline",6031.05391828081
2022,"Stationary Power Storage","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",6012.0123663548
2022,"Stationary Power Storage","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",6045.0403940792
2022,"Stationary Power Storage","Ambitious-Baseline-High Range-Baseline-Baseline",6031.33339809367
2022,"Stationary Power Storage","Ambitious-Baseline-Low Range-Baseline-Baseline",6031.33339809367
2022,"Stationary Power Storage","Ambitious-Double LFP-Baseline-Baseline-Baseline",6031.05391828081
2022,"Stationary Power Storage","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",6031.05391828081
2022,"Stationary Power Storage","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",6031.05391828081
2022,"Stationary Power Storage","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",6031.05391828081
