"t","Region","Scenario","Demand"
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Baseline",1975.86288721603
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1975.76912333526
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1975.94245126815
2022,"ASEAN","Ambitious-Baseline-High Range-Baseline-Baseline",1954.83331620971
2022,"ASEAN","Ambitious-Baseline-Low Range-Baseline-Baseline",1954.83331620971
2022,"ASEAN","Ambitious-Double LFP-Baseline-Baseline-Baseline",1975.86288721603
2022,"ASEAN","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1975.86288721603
2022,"ASEAN","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1975.86288721603
2022,"ASEAN","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1975.86288721603
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Baseline",2102.17452378336
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2102.16196923944
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2102.18468549965
2022,"Africa","Ambitious-Baseline-High Range-Baseline-Baseline",2083.69192380954
2022,"Africa","Ambitious-Baseline-Low Range-Baseline-Baseline",2083.69192380954
2022,"Africa","Ambitious-Double LFP-Baseline-Baseline-Baseline",2102.17452378336
2022,"Africa","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2102.17452378336
2022,"Africa","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2102.17452378336
2022,"Africa","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2102.17452378336
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Baseline",1060.56545282394
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1060.49455496103
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1060.61299688145
2022,"Australia/NZ","Ambitious-Baseline-High Range-Baseline-Baseline",1072.93555275681
2022,"Australia/NZ","Ambitious-Baseline-Low Range-Baseline-Baseline",1072.93555275681
2022,"Australia/NZ","Ambitious-Double LFP-Baseline-Baseline-Baseline",1060.56545282394
2022,"Australia/NZ","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1060.56545282394
2022,"Australia/NZ","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1060.56545282394
2022,"Australia/NZ","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1060.56545282394
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Baseline",818.983249113944
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",818.968967841406
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",818.994940740607
2022,"Brazil","Ambitious-Baseline-High Range-Baseline-Baseline",807.309275938005
2022,"Brazil","Ambitious-Baseline-Low Range-Baseline-Baseline",807.309275938005
2022,"Brazil","Ambitious-Double LFP-Baseline-Baseline-Baseline",818.983249113944
2022,"Brazil","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",818.983249113944
2022,"Brazil","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",818.983249113944
2022,"Brazil","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",818.983249113944
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Baseline",1517.48934453766
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1517.23213957477
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1517.66099375149
2022,"Canada","Ambitious-Baseline-High Range-Baseline-Baseline",1514.63792001955
2022,"Canada","Ambitious-Baseline-Low Range-Baseline-Baseline",1514.63792001955
2022,"Canada","Ambitious-Double LFP-Baseline-Baseline-Baseline",1517.48934453766
2022,"Canada","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1517.48934453766
2022,"Canada","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1517.48934453766
2022,"Canada","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1517.48934453766
2022,"China","Ambitious-Baseline-Baseline-Baseline-Baseline",52674.7068992979
2022,"China","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",52663.0922842848
2022,"China","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",52683.5727383603
2022,"China","Ambitious-Baseline-High Range-Baseline-Baseline",53007.7378482283
2022,"China","Ambitious-Baseline-Low Range-Baseline-Baseline",53007.7378482283
2022,"China","Ambitious-Double LFP-Baseline-Baseline-Baseline",52674.7068992979
2022,"China","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",52674.7068992979
2022,"China","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",52674.7068992979
