"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2023,0.00130417631102904
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2024,0.00226552177705263
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2025,0.00350888969314371
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2026,0.00550209847794681
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2027,0.00897053901438521
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2028,0.0149095738260504
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2029,0.0252515259594548
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2030,0.04306090028791
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2031,0.0754391515373088
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2032,0.103666120319435
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2033,0.14110319509858
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2034,0.190793240999007
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2035,0.257360279033127
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2036,0.342171959201485
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2037,0.444257608319984
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2038,0.571703171971212
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2039,0.726907825776711
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2040,0.913688951706021
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2041,1.14196664726654
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2042,1.40067336265427
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2043,1.69854898807227
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2044,2.03327946121786
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2045,2.39870532804715
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2046,2.78342023574183
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2047,3.19556103770631
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2048,3.61771282106861
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2049,4.05101559146413
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2050,4.49146499362046
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2051,4.93039341510454
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2052,5.37033743877628
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2053,5.81292418044191
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2054,6.24655180916755
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2055,6.67044328370231
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2056,7.08224217374309
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2057,7.4751275453679
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2058,7.84589806943351
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2059,8.19302262289711
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2060,8.51543650541504
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2061,8.81303426824065
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2062,9.08635732741137
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2063,9.33538381914386
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2064,9.5609316768065
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2065,9.76404309892912
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2066,9.94602391562808
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2067,10.1095661112595
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2068,10.2574836633688
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2069,10.392730976543
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2070,10.5183815944311
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2023,0.000726769487662907
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2024,0.00122445965919357
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2025,0.00260688797540021
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2026,0.00412487504445969
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2027,0.00707895324415817
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2028,0.0110337285135962
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2029,0.0182106484196324
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2030,0.0279566597041669
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2031,0.0435777067619954
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2032,0.0596394696971538
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2033,0.0813164254593764
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2034,0.110258527769763
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2035,0.14616240338056
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2036,0.194010120548534
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2037,0.254284518780093
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2038,0.329874764820013
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2039,0.422793754197365
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2040,0.536113931220894
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2041,0.66975041485019
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2042,0.823591037002904
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2043,0.998730586382171
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2044,1.19453699300491
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2045,1.40803198435262
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2046,1.63502129857591
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2047,1.86626633830918
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2048,2.10688598277838
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2049,2.35160579244
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2050,2.5980333780864
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2051,2.84367317761983
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2052,3.08904616699578
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2053,3.33332166014764
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2054,3.57616505037363
"Ambitious-Baseline-Baseline-Baseline-Baseline","Africa",2055,3.81718252917268
